2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 166 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 167 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 168 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 169 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 170 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 171 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 172 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 173 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 174 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 175 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 176 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 177 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 178 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 179 failed: 'NoneType' object has no attribute 'has'
2025-12-30 11:19:19 | ERROR    | langtrader.backtest_engine | run:187 | ❌ Cycle 180 failed: 'NoneType' object has no attribute 'has'
