2026-01-04 09:52:01 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): KPEPE/USDC:USDC 3m (close in 118s)
2026-01-04 09:52:01 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching KPEPE/USDC:USDC 3m...
2026-01-04 09:52:02 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:02 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 118s)
2026-01-04 09:52:02 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:02 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:KPEPE/USDC:USDC:3m:100:
2026-01-04 09:52:02 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): KPEPE/USDC:USDC 3m (close in 117s)
2026-01-04 09:52:02 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching KPEPE/USDC:USDC 3m...
2026-01-04 09:52:03 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:52:03 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 116s)
2026-01-04 09:52:03 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:52:03 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:52:03 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 116s)
2026-01-04 09:52:03 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:52:04 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 116s)
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:04 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 115s)
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:04 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 115s)
2026-01-04 09:52:04 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:52:05 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 115s)
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:05 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:ETH/USDC:USDC:3m:100:
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): ETH/USDC:USDC 3m (close in 115s)
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching ETH/USDC:USDC 3m...
2026-01-04 09:52:05 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 114s)
2026-01-04 09:52:05 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:06 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:BTC/USDC:USDC:3m:100:
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): BTC/USDC:USDC 3m (close in 114s)
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching BTC/USDC:USDC 3m...
2026-01-04 09:52:06 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:KPEPE/USDC:USDC:3m:100:
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): KPEPE/USDC:USDC 3m (close in 114s)
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching KPEPE/USDC:USDC 3m...
2026-01-04 09:52:06 | DEBUG    | langtrader.cache | set:113 | Cache set for key: ohlcv_3m:SOL/USDC:USDC:3m:100:
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:252 | 📡 Updated partial candle (real-time): SOL/USDC:USDC 3m (close in 113s)
2026-01-04 09:52:06 | DEBUG    | langtrader.stream_manager | _watch_stream:218 | 📊 Watching SOL/USDC:USDC 3m...
